District.,Address.,Bathrooms.,Bedrooms.,Built.Year.,Developer.,Property.Name.,nearest_mrt_name,neighbourhood,PSF.,Property.Type.,Asking.,Area.Builtup,Area.Land,Tenure.,total_units,travel_time_changi,travel_time_orchard,travel_time_raffles,unit_types,Furnish.,Floor.Description,overlooking_view,facing,is_HDB
 D1 - Boat Quay / Raffles Place / Marina ,2 Marina Boulevard,4,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,7.18,Condominium,15800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,2 Marina Boulevard,3,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.27,Condominium,13800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",Partial,High,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,2 Marina Boulevard,4,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.27,Apartment,13800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",Partial,High,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,6 Marina Boulevard,4,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.27,Condominium,13800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,2 Marina Boulevard,3,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.27,Condominium,13800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,6 Marina Boulevard,3,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.27,Condominium,13800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,2 Marina Boulevard,2,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.27,Condominium,13800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,2 Marina Boulevard,4,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.27,Condominium,13800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",Partial,High,NA,South East,No
 D1 - Boat Quay / Raffles Place / Marina ,6 Marina Boulevard,4,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,7.18,Condominium,15800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,2 Marina Boulevard,4,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.27,Condominium,13800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,4 Marina Boulevard,3,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,7.18,Condominium,15800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,2 Marina Boulevard,3,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.27,Condominium,13800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",Partial,High,NA,South,No
 D1 - Boat Quay / Raffles Place / Marina ,6 Marina Boulevard,4,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,7.18,Condominium,15800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,2 Marina Boulevard,3,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,7.18,Condominium,15800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,2 Marina Boulevard,3,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,7.18,Condominium,15800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,2 Marina Boulevard,2,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,7.18,Condominium,15800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",Partial,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,6 Marina Boulevard,2,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,7.18,Condominium,15800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
